"Var1"	"Freq"
"1"	"[Agitococcus] lubricus group"	2
"2"	"[Eubacterium] brachy group"	4
"3"	"[Eubacterium] nodatum group"	1
"4"	"1959-1"	1
"5"	"966-1"	1
"6"	"AAP99"	8
"7"	"Acetitomaculum"	1
"8"	"Acetoanaerobium"	1
"9"	"Acetobacter"	3
"10"	"Acetobacterium"	1
"11"	"Acholeplasma"	2
"12"	"Achromobacter"	4
"13"	"Acidaminobacter"	4
"14"	"Acidaminococcus"	2
"15"	"Acidibacter"	2
"16"	"Acidiphilium"	4
"17"	"Acidipropionibacterium"	2
"18"	"Acidisoma"	1
"19"	"Acidovorax"	16
"20"	"Acinetobacter"	56
"21"	"Actinomyces"	8
"22"	"Actinomycetospora"	1
"23"	"ADurb.Bin063-1"	1
"24"	"Aeriscardovia"	1
"25"	"Aerococcus"	1
"26"	"Aeromicrobium"	1
"27"	"Aeromonas"	13
"28"	"Aetherobacter"	1
"29"	"Afipia"	7
"30"	"Agathobacter"	1
"31"	"Aggregicoccus"	1
"32"	"Akkermansia"	1
"33"	"Alcaligenes"	1
"34"	"Alcanivorax"	1
"35"	"Algoriphagus"	1
"36"	"Alicyclobacillus"	1
"37"	"Aliivibrio"	17
"38"	"Alistipes"	2
"39"	"Alkanindiges"	3
"40"	"Allisonella"	2
"41"	"Alloiococcus"	1
"42"	"Alloprevotella"	4
"43"	"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"	7
"44"	"alphaI cluster"	2
"45"	"Alsobacter"	2
"46"	"Altererythrobacter"	1
"47"	"Amaricoccus"	3
"48"	"Aminobacter"	2
"49"	"Aminobacterium"	3
"50"	"Ammoniibacillus"	1
"51"	"Anaerobacillus"	5
"52"	"Anaerocella"	1
"53"	"Anaerocolumna"	1
"54"	"Anaerosporomusa"	1
"55"	"Aneurinibacillus"	3
"56"	"Angustibacter"	1
"57"	"Anoxybacillus"	4
"58"	"Aquabacterium"	3
"59"	"Aquamicrobium"	1
"60"	"Aquicella"	4
"61"	"Aquipuribacter"	1
"62"	"Aquisphaera"	4
"63"	"Aquitalea"	2
"64"	"Arcicella"	5
"65"	"Arcobacter"	2
"66"	"Arenimonas"	6
"67"	"Aridibacter"	2
"68"	"Armatimonas"	4
"69"	"Arsenicibacter"	1
"70"	"Arsenicitalea"	2
"71"	"Arthrobacter"	4
"72"	"Asaccharospora"	5
"73"	"Asinibacterium"	1
"74"	"Asticcacaulis"	2
"75"	"Atopobium"	1
"76"	"Atopostipes"	1
"77"	"Aurantimicrobium"	1
"78"	"Aurantisolimonas"	1
"79"	"Aureimonas"	2
"80"	"AUTHM297"	1
"81"	"Azospira"	2
"82"	"Bacillus"	23
"83"	"Bacteriovorax"	2
"84"	"Bacteroides"	17
"85"	"Bauldia"	4
"86"	"BD1-7 clade"	2
"87"	"Bdellovibrio"	35
"88"	"Beggiatoa"	1
"89"	"Bergeyella"	1
"90"	"Bifidobacterium"	4
"91"	"Bizionia"	1
"92"	"Blastocatella"	5
"93"	"Blastococcus"	1
"94"	"Blastopirellula"	2
"95"	"Blautia"	2
"96"	"Bogoriella"	1
"97"	"Bosea"	5
"98"	"Brachybacterium"	1
"99"	"Brachymonas"	1
"100"	"Bradyrhizobium"	5
"101"	"Brevibacterium"	5
"102"	"Brevinema"	1
"103"	"Brevundimonas"	11
"104"	"Breznakia"	1
"105"	"Brochothrix"	1
"106"	"Brucella"	1
"107"	"Bryobacter"	2
"108"	"BSV13"	2
"109"	"Burkholderia-Caballeronia-Paraburkholderia"	5
"110"	"C1-B045"	2
"111"	"C39"	4
"112"	"Caedibacter"	2
"113"	"Caldanaerobacter"	1
"114"	"Caldibacillus"	1
